Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Week,Day,Day_of_Week,Is_Weekend,Inventory_to_Sales_Ratio,Inventory_Gap,Price_Difference,Price_Difference_Percentage,Promotion_Discount,Previous_Demand,Previous_Units_Sold,Rolling_7_Day_Demand,Rolling_7_Day_Sales
2022-02-11,S001,P0001,Electronics,North,239,108,247,78.22,0,Sunny,0,70.88,Winter,0,106,2022,2,6,11,4,0,2.212962962962963,131,7.340000000000003,10.355530474040638,0,65.0,59.0,92.28571428571429,74.57142857142857
2022-02-12,S001,P0001,Electronics,North,131,111,288,80.71,10,Sunny,0,75.02,Winter,0,151,2022,2,6,12,5,1,1.1801801801801801,20,5.689999999999998,7.584644094908022,0,106.0,108.0,90.42857142857143,79.14285714285714
2022-02-13,S001,P0001,Electronics,North,267,65,0,64.14,0,Snowy,0,71.52,Winter,0,63,2022,2,6,13,6,1,4.107692307692307,202,-7.3799999999999955,-10.31879194630872,0,151.0,111.0,100.42857142857143,83.42857142857143
2022-02-14,S001,P0001,Electronics,North,490,54,0,60.31,10,Snowy,0,53.53,Winter,0,61,2022,2,7,14,0,0,9.074074074074074,436,6.780000000000001,12.66579488137493,0,63.0,65.0,100.71428571428571,83.42857142857143
2022-02-15,S001,P0001,Electronics,North,436,109,0,62.09,25,Snowy,1,68.99,Winter,0,141,2022,2,7,15,1,0,4.0,327,-6.8999999999999915,-10.001449485432659,25,61.0,54.0,100.14285714285714,80.57142857142857
2022-02-16,S001,P0001,Electronics,North,327,114,0,58.68,20,Sunny,1,70.98,Winter,0,102,2022,2,7,16,2,0,2.8684210526315788,213,-12.300000000000004,-17.32882502113272,20,141.0,109.0,101.0,84.14285714285714
2022-02-17,S001,P0001,Electronics,North,213,66,142,49.1,25,Cloudy,1,55.59,Winter,0,69,2022,2,7,17,3,0,3.227272727272727,147,-6.490000000000002,-11.67476164777838,25,102.0,114.0,98.42857142857143,88.57142857142857
2022-02-18,S001,P0001,Electronics,North,147,142,218,81.26,5,Sunny,0,76.94,Winter,0,135,2022,2,7,18,4,0,1.0352112676056338,5,4.320000000000007,5.614764751754624,0,69.0,66.0,99.0,89.57142857142857
2022-02-19,S001,P0001,Electronics,North,147,41,0,54.62,15,Sunny,1,61.39,Winter,0,64,2022,2,7,19,5,1,3.5853658536585367,106,-6.770000000000003,-11.027854699462459,15,135.0,142.0,103.14285714285714,94.42857142857143
2022-02-20,S001,P0001,Electronics,North,324,161,267,78.12,10,Sunny,0,75.03,Winter,0,140,2022,2,7,20,6,1,2.012422360248447,163,3.0900000000000034,4.11835265893643,0,64.0,41.0,90.71428571428571,84.42857142857143
2022-02-21,S001,P0001,Electronics,North,163,135,0,69.35,15,Snowy,1,62.07,Winter,0,119,2022,2,8,21,0,0,1.2074074074074075,28,7.279999999999994,11.728693410665368,15,140.0,161.0,101.71428571428571,98.14285714285714
2022-02-22,S001,P0001,Electronics,North,295,81,294,72.97,10,Sunny,0,85.45,Winter,0,134,2022,2,8,22,1,0,3.6419753086419755,214,-12.480000000000004,-14.605032182562908,0,119.0,135.0,110.0,109.71428571428571
2022-02-23,S001,P0001,Electronics,North,214,167,0,79.37,10,Sunny,1,77.35,Winter,0,145,2022,2,8,23,2,0,1.281437125748503,47,2.0200000000000102,2.611506140917919,10,134.0,81.0,109.0,105.71428571428571
2022-02-24,S001,P0001,Electronics,North,341,104,0,68.37,10,Snowy,1,67.31,Winter,0,97,2022,2,8,24,3,0,3.2788461538461537,237,1.0600000000000023,1.5748031496063026,10,145.0,167.0,115.14285714285714,113.28571428571429
2022-02-25,S001,P0001,Electronics,North,237,111,243,77.73,0,Snowy,0,88.92,Winter,0,120,2022,2,8,25,4,0,2.135135135135135,126,-11.189999999999998,-12.584345479082318,0,97.0,104.0,119.14285714285714,118.71428571428571
2022-02-26,S001,P0001,Electronics,North,126,73,0,68.03,5,Cloudy,0,67.23,Winter,0,79,2022,2,8,26,5,1,1.726027397260274,53,0.7999999999999972,1.1899449650453622,0,120.0,111.0,117.0,114.28571428571429
2022-02-27,S001,P0001,Electronics,North,296,141,305,77.19,10,Sunny,0,92.65,Winter,0,153,2022,2,8,27,6,1,2.099290780141844,155,-15.460000000000008,-16.686454398273078,0,79.0,73.0,119.14285714285714,118.85714285714286
2022-02-28,S001,P0001,Electronics,North,155,112,0,62.36,20,Snowy,1,67.27,Winter,0,121,2022,2,9,28,0,0,1.3839285714285714,43,-4.909999999999997,-7.29894455180615,20,153.0,141.0,121.0,116.0
2022-03-01,S001,P0001,Electronics,North,348,89,283,75.76,10,Sunny,0,70.35,Spring,0,129,2022,3,9,1,1,0,3.9101123595505616,259,5.410000000000011,7.690120824449198,0,121.0,112.0,121.28571428571429,112.71428571428571
2022-03-02,S001,P0001,Electronics,North,259,101,0,65.05,15,Cloudy,1,69.99,Spring,0,115,2022,3,9,2,2,0,2.5643564356435644,158,-4.939999999999998,-7.058151164452061,15,129.0,89.0,120.57142857142857,113.85714285714286
2022-03-03,S001,P0001,Electronics,North,441,111,0,64.72,15,Sunny,1,71.82,Spring,0,113,2022,3,9,3,3,0,3.972972972972973,330,-7.099999999999994,-9.885825675299351,15,115.0,101.0,116.28571428571429,104.42857142857143
2022-03-04,S001,P0001,Electronics,North,330,95,0,63.43,15,Cloudy,1,62.23,Spring,0,91,2022,3,9,4,4,0,3.473684210526316,235,1.2000000000000028,1.928330387273024,15,113.0,111.0,118.57142857142857,105.42857142857143
2022-03-05,S001,P0001,Electronics,North,235,87,171,68.92,10,Sunny,1,62.46,Spring,0,99,2022,3,9,5,5,1,2.7011494252873565,148,6.460000000000001,10.342619276336857,10,91.0,95.0,114.42857142857143,103.14285714285714
2022-03-06,S001,P0001,Electronics,North,148,115,301,63.11,25,Rainy,1,60.31,Spring,0,129,2022,3,9,6,6,1,1.2869565217391303,33,2.799999999999997,4.642679489305252,25,99.0,87.0,117.28571428571429,105.14285714285714
2022-03-07,S001,P0001,Electronics,North,204,94,0,81.17,0,Sunny,0,76.77,Spring,0,117,2022,3,10,7,0,0,2.1702127659574466,110,4.400000000000006,5.731405496938916,0,129.0,115.0,113.85714285714286,101.42857142857143
2022-03-08,S001,P0001,Electronics,North,411,45,0,61.06,10,Cloudy,0,54.47,Spring,0,64,2022,3,10,8,1,0,9.133333333333333,366,6.590000000000003,12.098402790526903,0,117.0,94.0,113.28571428571429,98.85714285714286
2022-03-09,S001,P0001,Electronics,North,366,195,383,81.24,15,Rainy,1,72.83,Spring,0,175,2022,3,10,9,2,0,1.876923076923077,171,8.409999999999997,11.547439242070572,15,64.0,45.0,104.0,92.57142857142857
2022-03-10,S001,P0001,Electronics,North,171,65,0,61.18,10,Rainy,0,65.79,Spring,0,79,2022,3,10,10,3,0,2.6307692307692307,106,-4.6100000000000065,-7.007143942848466,0,175.0,195.0,112.57142857142857,106.0
2022-03-11,S001,P0001,Electronics,North,489,32,0,58.13,0,Rainy,0,68.76,Spring,0,38,2022,3,10,11,4,0,15.28125,457,-10.630000000000003,-15.459569517161142,0,79.0,65.0,107.71428571428571,99.42857142857143
2022-03-12,S001,P0001,Electronics,North,457,77,0,56.44,15,Sunny,1,62.51,Spring,0,73,2022,3,10,12,5,1,5.935064935064935,380,-6.07,-9.710446328587427,15,38.0,32.0,100.14285714285714,90.42857142857143
2022-03-13,S001,P0001,Electronics,North,380,75,0,63.17,20,Sunny,1,73.23,Spring,0,125,2022,3,10,13,6,1,5.066666666666666,305,-10.060000000000002,-13.737539259866177,20,73.0,77.0,96.42857142857143,89.0
2022-03-14,S001,P0001,Electronics,North,305,118,192,78.53,0,Cloudy,0,76.25,Spring,0,107,2022,3,11,14,0,0,2.5847457627118646,187,2.280000000000001,2.990163934426231,0,125.0,75.0,95.85714285714286,83.28571428571429
2022-03-15,S001,P0001,Electronics,North,187,129,0,65.22,20,Rainy,1,65.12,Spring,0,119,2022,3,11,15,1,0,1.449612403100775,58,0.09999999999999432,0.1535626535626448,20,107.0,118.0,94.42857142857143,86.71428571428571
2022-03-16,S001,P0001,Electronics,North,250,103,203,69.72,5,Rainy,0,61.26,Spring,0,86,2022,3,11,16,2,0,2.4271844660194173,147,8.46,13.809990205680709,0,119.0,129.0,102.28571428571429,98.71428571428571
2022-03-17,S001,P0001,Electronics,North,147,92,0,69.39,10,Cloudy,0,62.27,Spring,0,101,2022,3,11,17,3,0,1.5978260869565217,55,7.119999999999997,11.434077404849843,0,86.0,103.0,89.57142857142857,85.57142857142857
2022-03-18,S001,P0001,Electronics,North,258,103,172,67.53,5,Rainy,0,81.08,Spring,0,92,2022,3,11,18,4,0,2.504854368932039,155,-13.549999999999997,-16.71188949185989,0,101.0,92.0,92.71428571428571,89.42857142857143
2022-03-19,S001,P0001,Electronics,North,155,75,270,81.7,0,Rainy,0,76.0,Spring,0,119,2022,3,11,19,5,1,2.066666666666667,80,5.700000000000003,7.5000000000000036,0,92.0,103.0,100.42857142857143,99.57142857142857
2022-03-20,S001,P0001,Electronics,North,252,147,0,82.98,5,Sunny,0,76.43,Spring,0,142,2022,3,11,20,6,1,1.7142857142857142,105,6.549999999999997,8.56993327227528,0,119.0,75.0,107.0,99.28571428571429
2022-03-21,S001,P0001,Electronics,North,375,74,0,74.32,0,Sunny,0,72.51,Spring,0,90,2022,3,12,21,0,0,5.0675675675675675,301,1.809999999999988,2.4962074196662365,0,142.0,147.0,109.42857142857143,109.57142857142857
2022-03-22,S001,P0001,Electronics,North,301,80,0,56.63,15,Rainy,1,66.67,Spring,0,74,2022,3,12,22,1,0,3.7625,221,-10.04,-15.059247037648117,15,90.0,74.0,107.0,103.28571428571429
2022-03-23,S001,P0001,Electronics,North,221,90,147,61.55,10,Sunny,0,66.88,Spring,0,81,2022,3,12,23,2,0,2.4555555555555557,131,-5.329999999999998,-7.9694976076555,0,74.0,80.0,100.57142857142857,96.28571428571429
2022-03-24,S001,P0001,Electronics,North,131,41,0,51.93,10,Sunny,0,61.99,Spring,0,36,2022,3,12,24,3,0,3.1951219512195124,90,-10.060000000000002,-16.228423939345056,0,81.0,90.0,99.85714285714286,94.42857142857143
2022-03-25,S001,P0001,Electronics,North,237,107,275,68.79,10,Cloudy,0,75.03,Spring,0,115,2022,3,12,25,4,0,2.2149532710280373,130,-6.239999999999995,-8.316673330667726,0,36.0,41.0,90.57142857142857,87.14285714285714
2022-03-26,S001,P0001,Electronics,North,130,99,0,74.0,0,Cloudy,0,72.08,Spring,0,89,2022,3,12,26,5,1,1.3131313131313131,31,1.9200000000000017,2.663706992230857,0,115.0,107.0,93.85714285714286,87.71428571428571
2022-03-27,S001,P0001,Electronics,North,306,111,0,65.59,10,Sunny,0,72.31,Spring,0,100,2022,3,12,27,6,1,2.7567567567567566,195,-6.719999999999999,-9.29332042594385,0,89.0,99.0,89.57142857142857,91.14285714285714
2022-03-28,S001,P0001,Electronics,North,195,65,119,59.74,10,Rainy,0,51.11,Spring,0,59,2022,3,13,28,0,0,3.0,130,8.630000000000003,16.8851496771669,0,100.0,111.0,83.57142857142857,86.0
2022-03-29,S001,P0001,Electronics,North,130,130,342,83.15,5,Sunny,0,90.6,Spring,0,161,2022,3,13,29,1,0,1.0,0,-7.449999999999989,-8.22295805739513,0,59.0,65.0,79.14285714285714,84.71428571428571
2022-03-30,S001,P0001,Electronics,North,119,73,0,61.77,10,Cloudy,0,74.22,Spring,0,82,2022,3,13,30,2,0,1.63013698630137,46,-12.449999999999996,-16.774454324979786,0,161.0,130.0,91.57142857142857,91.85714285714286
2022-03-31,S001,P0001,Electronics,North,388,121,0,69.04,10,Rainy,0,83.43,Spring,0,116,2022,3,13,31,3,0,3.206611570247934,267,-14.39,-17.247992328898476,0,82.0,73.0,91.71428571428571,89.42857142857143
2022-04-01,S001,P0001,Electronics,North,267,59,0,63.37,10,Cloudy,1,60.31,Spring,0,75,2022,4,13,1,4,0,4.52542372881356,208,3.059999999999995,5.073785441883593,10,116.0,121.0,103.14285714285714,100.85714285714286
2022-04-02,S001,P0001,Electronics,North,208,111,200,68.61,10,Rainy,0,67.66,Spring,0,98,2022,4,13,2,5,1,1.8738738738738738,97,0.9500000000000028,1.4040792196275538,0,75.0,59.0,97.42857142857143,94.0
2022-04-03,S001,P0001,Electronics,North,97,97,321,84.43,10,Cloudy,1,82.7,Spring,0,168,2022,4,13,3,6,1,1.0,0,1.730000000000004,2.0918984280532094,10,98.0,111.0,98.71428571428571,95.71428571428571
2022-04-04,S001,P0001,Electronics,North,200,89,0,52.89,25,Rainy,1,59.71,Spring,0,90,2022,4,14,4,0,0,2.247191011235955,111,-6.82,-11.421872383185397,25,168.0,97.0,108.42857142857143,93.71428571428571
2022-04-05,S001,P0001,Electronics,North,432,79,0,69.25,10,Cloudy,0,66.66,Spring,0,101,2022,4,14,5,1,0,5.468354430379747,353,2.5900000000000034,3.8853885388538907,0,90.0,89.0,112.85714285714286,97.14285714285714
2022-04-06,S001,P0001,Electronics,North,353,65,0,74.82,0,Cloudy,0,89.89,Spring,0,108,2022,4,14,6,2,0,5.430769230769231,288,-15.070000000000007,-16.764934920458348,0,101.0,79.0,104.28571428571429,89.85714285714286
2022-04-07,S001,P0001,Electronics,North,288,71,0,58.68,10,Sunny,0,66.38,Spring,0,68,2022,4,14,7,3,0,4.056338028169014,217,-7.699999999999996,-11.599879481771612,0,108.0,65.0,108.0,88.71428571428571
2022-04-08,S001,P0001,Electronics,North,217,69,264,68.91,10,Sunny,0,76.29,Spring,0,115,2022,4,14,8,4,0,3.1449275362318843,148,-7.38000000000001,-9.673613841919005,0,68.0,71.0,101.14285714285714,81.57142857142857
2022-04-09,S001,P0001,Electronics,North,148,43,0,64.08,0,Cloudy,0,69.55,Spring,0,63,2022,4,14,9,5,1,3.441860465116279,105,-5.469999999999999,-7.864845434938891,0,115.0,69.0,106.85714285714286,83.0
2022-04-10,S001,P0001,Electronics,North,369,131,333,86.0,5,Rainy,0,76.77,Spring,0,154,2022,4,14,10,6,1,2.816793893129771,238,9.230000000000004,12.022925621987762,0,63.0,43.0,101.85714285714286,73.28571428571429
2022-04-11,S001,P0001,Electronics,North,238,143,0,69.62,20,Cloudy,1,59.91,Spring,0,141,2022,4,15,11,0,0,1.6643356643356644,95,9.710000000000008,16.207644800534148,20,154.0,131.0,99.85714285714286,78.14285714285714
2022-04-12,S001,P0001,Electronics,North,428,132,308,71.62,20,Sunny,1,80.72,Spring,0,169,2022,4,15,12,1,0,3.242424242424242,296,-9.099999999999994,-11.273538156590677,20,141.0,143.0,107.14285714285714,85.85714285714286
2022-04-13,S001,P0001,Electronics,North,296,84,0,82.97,0,Sunny,0,71.02,Spring,0,124,2022,4,15,13,2,0,3.5238095238095237,212,11.950000000000003,16.826246127851313,0,169.0,132.0,116.85714285714286,93.42857142857143
2022-04-14,S001,P0001,Electronics,North,520,106,0,76.44,0,Sunny,0,84.34,Spring,0,115,2022,4,15,14,3,0,4.90566037735849,414,-7.900000000000006,-9.366848470476649,0,124.0,84.0,119.14285714285714,96.14285714285714
2022-04-15,S001,P0001,Electronics,North,414,132,328,85.3,15,Sunny,1,75.15,Spring,0,193,2022,4,15,15,4,0,3.1363636363636362,282,10.149999999999991,13.506320691949423,15,115.0,106.0,125.85714285714286,101.14285714285714
2022-04-16,S001,P0001,Electronics,North,282,93,0,71.65,0,Rainy,0,70.75,Spring,0,80,2022,4,15,16,5,1,3.032258064516129,189,0.9000000000000057,1.2720848056537182,0,193.0,132.0,137.0,110.14285714285714
2022-04-17,S001,P0001,Electronics,North,517,105,0,66.71,5,Cloudy,0,78.15,Spring,0,89,2022,4,15,17,6,1,4.923809523809524,412,-11.440000000000012,-14.63851567498402,0,80.0,93.0,139.42857142857142,117.28571428571429
2022-04-18,S001,P0001,Electronics,North,412,68,0,66.92,10,Cloudy,1,72.85,Spring,0,106,2022,4,16,18,0,0,6.0588235294117645,344,-5.929999999999993,-8.140013726835955,10,89.0,105.0,130.14285714285714,113.57142857142857
2022-04-19,S001,P0001,Electronics,North,344,62,0,65.17,10,Sunny,1,77.7,Spring,0,98,2022,4,16,19,1,0,5.548387096774194,282,-12.530000000000001,-16.126126126126128,10,106.0,68.0,125.14285714285714,102.85714285714286
2022-04-20,S001,P0001,Electronics,North,282,116,191,76.18,0,Sunny,0,68.51,Spring,0,98,2022,4,16,20,2,0,2.4310344827586206,166,7.670000000000002,11.195445920303607,0,98.0,62.0,115.0,92.85714285714286
2022-04-21,S001,P0001,Electronics,North,166,84,0,62.55,5,Rainy,0,68.09,Spring,0,70,2022,4,16,21,3,0,1.9761904761904763,82,-5.540000000000006,-8.136290204141586,0,98.0,116.0,111.28571428571429,97.42857142857143
2022-04-22,S001,P0001,Electronics,North,273,59,0,63.82,10,Rainy,0,58.07,Spring,0,77,2022,4,16,22,4,0,4.627118644067797,214,5.75,9.901842603754089,0,70.0,84.0,104.85714285714286,94.28571428571429
2022-04-23,S001,P0001,Electronics,North,214,35,0,61.74,0,Sunny,0,55.95,Spring,1,40,2022,4,16,23,5,1,6.114285714285714,179,5.789999999999999,10.348525469168898,0,77.0,59.0,88.28571428571429,83.85714285714286
2022-04-24,S001,P0001,Electronics,North,179,30,0,54.96,5,Rainy,0,64.74,Spring,1,37,2022,4,16,24,6,1,5.966666666666667,149,-9.779999999999994,-15.106580166821123,0,40.0,35.0,82.57142857142857,75.57142857142857
2022-04-25,S001,P0001,Electronics,North,149,66,106,56.0,10,Sunny,0,64.17,Spring,1,55,2022,4,17,25,0,0,2.257575757575758,83,-8.170000000000002,-12.731806139940785,0,37.0,30.0,75.14285714285714,64.85714285714286
2022-04-26,S001,P0001,Electronics,North,83,40,119,54.53,15,Rainy,1,46.52,Spring,1,50,2022,4,17,26,1,0,2.075,43,8.009999999999998,17.218400687876176,15,55.0,66.0,67.85714285714286,64.57142857142857
